,Entity,Code,Year,corruption_vdem_owid
20401,Nicaragua,NIC,2020,0.941
20502,Niger,NER,2020,0.569
20611,Nigeria,NGA,2020,0.92
20845,North America,,2020,0.46906668
21045,North Korea,PRK,2020,0.68
21279,North Macedonia,MKD,2020,0.664
21513,Norway,NOR,2020,0.009
21747,Oceania,,2020,0.33683333
22058,Oman,OMN,2020,0.25
22242,Pakistan,PAK,2020,0.839
22308,Palestine/Gaza,,2020,0.436
22366,Palestine/West Bank,,2020,0.231
22486,Panama,PAN,2020,0.512
22687,Papua New Guinea,PNG,2020,0.683
22899,Paraguay,PRY,2020,0.764
23161,Peru,PER,2020,0.589
23284,Philippines,PHL,2020,0.705
23523,Poland,POL,2020,0.117
23757,Portugal,PRT,2020,0.133
23880,Qatar,QAT,2020,0.386
24077,Romania,ROU,2020,0.386
24311,Russia,RUS,2020,0.724
24418,Rwanda,RWA,2020,0.312
24541,Sao Tome and Principe,STP,2020,0.275
24775,Saudi Arabia,SAU,2020,0.39
25032,Senegal,SEN,2020,0.401
25266,Serbia,SRB,2020,0.669
25386,Seychelles,SYC,2020,0.118
25509,Sierra Leone,SLE,2020,0.648
25665,Singapore,SGP,2020,0.007
25899,Slovakia,SVK,2020,0.248
26118,Slovenia,SVN,2020,0.336
26241,Solomon Islands,SLB,2020,0.647
26364,Somalia,SOM,2020,0.926
26456,Somaliland,OWID_SML,2020,0.602
26579,South Africa,ZAF,2020,0.377
26813,South America,,2020,0.48358333
27047,South Korea,KOR,2020,0.121
27234,South Sudan,SSD,2020,0.937
27468,Spain,ESP,2020,0.037
27591,Sri Lanka,LKA,2020,0.599
27778,Sudan,SDN,2020,0.549
27901,Suriname,SUR,2020,0.263
28135,Sweden,SWE,2020,0.006
28360,Switzerland,CHE,2020,0.022
28592,Syria,SYR,2020,0.92
28821,Taiwan,TWN,2020,0.19
28976,Tajikistan,TJK,2020,0.821
29085,Tanzania,TZA,2020,0.249
29319,Thailand,THA,2020,0.727
29426,Togo,TGO,2020,0.731
29549,Trinidad and Tobago,TTO,2020,0.09
29783,Tunisia,TUN,2020,0.378
30017,Turkey,TUR,2020,0.827
30154,Turkmenistan,TKM,2020,0.918
30415,Uganda,UGA,2020,0.772
30492,Ukraine,UKR,2020,0.694
30544,United Arab Emirates,ARE,2020,0.111
30778,United Kingdom,GBR,2020,0.049
31012,United States,USA,2020,0.084
31210,Uruguay,URY,2020,0.053
31444,Uzbekistan,UZB,2020,0.78
31567,Vanuatu,VUT,2020,0.375
31791,Venezuela,VEN,2020,0.952
31869,Vietnam,VNM,2020,0.465
32103,World,OWID_WRL,2020,0.48682123
32420,Yemen,YEM,2020,0.92
32623,Zambia,ZMB,2020,0.414
32790,Zanzibar,OWID_ZAN,2020,0.676
32913,Zimbabwe,ZWE,2020,0.799
