Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1971,11015853,670000,0.060821436,60.821436,1.3399999,,500000,0.04538913,453.8913,,,0,0,0,0,0,0,670000,0.060821436,60.821436,386000,0.03504041,35.04041,201000,0.01824643,18.24643,,,,67000,0.0060821436,6.0821436,35.03023,95.97323191698001,296.13287,7.832463,4.1629233
,Afghanistan,1972,11286753,720000,0.063791595,63.79159500000001,1.5652,,460000,0.04075574,407.5574,,,0,0,0,0,0,0,720000,0.063791595,63.79159500000001,416000,0.036857367,36.857367,216000,0.01913748,19.13748,,,,72000,0.0063791596,6.3791595999999995,36.819653,100.87576063507801,311.23907,8.232582,4.3742037
,Afghanistan,1973,11575308,760000,0.065657,65.657,1.617,,470000,0.04060367,406.0367,,,0,0,0,0,0,0,760000,0.065657,65.657,439000,0.037925556,37.925556,228000,0.0196971,19.6971,,,,76000,0.0065657,6.5657,37.95938,103.99830032988001,320.84567,8.487105,4.5071597
,Afghanistan,1974,11869881,770000,0.06487007,64.87007,1.617,,476200,0.040118348,401.18348,,,0,0,0,0,0,0,770000,0.06487007,64.87007,445000,0.037489846,37.489846,231000,0.01946102,19.461019999999998,,,,77000,0.006487007,6.487007,37.494495,102.72464280837,316.9557,8.38611,4.456737
,Afghanistan,1975,12157390,780000,0.06415851,64.15851,1.6115999,,484000,0.039811175,398.11175,,,0,0,0,0,0,0,780000,0.06415851,64.15851,451000,0.03709678,37.09678,234000,0.019247552,19.247552000000002,,,,78000,0.006415851,6.415851,37.106556,101.661796243656,313.68152,8.290641,4.4085975
,Afghanistan,1976,12425276,800000,0.064384885,64.384885,1.6597999,,482000,0.038791895,387.91895,,,0,0,0,0,0,0,800000,0.064384885,64.384885,463000,0.037262753,37.262753000000004,240000,0.019315466,19.315466,,,,80000,0.0064384886,6.4384886,37.281197,102.140264732022,315.1328,8.338537,4.432103
,Afghanistan,1977,12687308,760000,0.059902385,59.902385,1.5833,,480000,0.037833083,378.33083000000005,,,0,0,0,0,0,0,760000,0.059902385,59.902385,439000,0.03460151,34.601510000000005,228000,0.017970715,17.970715000000002,,,,76000,0.0059902384,5.9902384,34.610607,94.82357987368201,292.59268,7.735764,4.1093035
,Afghanistan,1978,12938864,780000,0.0602835,60.2835,1.6183,,482000,0.03725211,372.5211,,,0,0,0,0,0,0,780000,0.0602835,60.2835,451000,0.03485623,34.856230000000004,234000,0.01808505,18.08505,,,,78000,0.00602835,6.02835,34.890236,95.58968671533601,294.9653,7.8043947,4.14194
,Afghanistan,1979,12986378,760000,0.05852286,58.52286,1.6101999,,472000,0.036345776,363.45776,,,0,0,0,0,0,0,760000,0.05852286,58.52286,440000,0.033881657,33.881657000000004,228000,0.01755686,17.55686,,,,76000,0.0058522862,5.8522862,33.902058,92.882349756108,286.5801,7.574625,4.022105
,Afghanistan,1980,12486640,752000,0.06022437,60.22437,1.6710999,,450000,0.036038518,360.38518,,,0,0,0,0,0,0,752000,0.06022437,60.22437,437000,0.034997404,34.997404,226000,0.018099345,18.099345,,,,75000,0.0060064197,6.0064196999999995,34.95909,95.77832780934001,295.50565,7.8109083,4.148226
,Afghanistan,1981,11155196,701000,0.06284067,62.84067,1.6689999,,420000,0.037650615,376.50615,,,0,0,0,0,0,0,701000,0.06284067,62.84067,407000,0.03648524,36.485240000000005,210000,0.018825307,18.825307,,,,70000,0.0062751025,6.2751025,36.456615,99.88113598749,308.17868,8.146665,4.334816
,Afghanistan,1982,10088290,663000,0.06571976,65.71976000000001,1.6658,,398000,0.03945168,394.51680000000005,,,0,0,0,0,0,0,663000,0.06571976,65.71976000000001,384000,0.038063932,38.063932,199000,0.01972584,19.72584,,,,66000,0.0065422384,6.5422384,38.096275,104.37335512065,322.07758,8.515933,4.5209584
,Afghanistan,1983,9951447,639000,0.06421177,64.21177,1.6640999,,384000,0.038587354,385.87354,,,0,0,0,0,0,0,639000,0.06421177,64.21177,371000,0.03728101,37.28101,192000,0.019293677,19.293677,,,,64000,0.0064312257,6.431225700000001,37.23733,102.02008117158,314.80124,8.32827,4.4286222
,Afghanistan,1984,10243689,608000,0.059353616,59.353615999999995,1.6611999,,366000,0.035729315,357.29314999999997,,,0,0,0,0,0,0,608000,0.059353616,59.353615999999995,353000,0.034460243,34.460243,182000,0.017767036,17.767036,,,,61000,0.005954886,5.954886,34.42671,94.31975248146,291.0359,7.695382,4.084917
,Afghanistan,1985,10512220,577000,0.0548885,54.8885,1.6652,,346500,0.03296164,329.6164,,,0,0,0,0,0,0,577000,0.0548885,54.8885,334000,0.031772546,31.772546,173000,0.016457038,16.457038,,,,58000,0.005517388,5.5173879999999995,31.815952,87.166990909152,268.93857,7.117736,3.7836967
,Afghanistan,1986,10448447,567000,0.054266438,54.266438,1.6875,,336000,0.03215789,321.57890000000003,,,0,0,0,0,0,0,567000,0.054266438,54.266438,330000,0.03158364,31.583640000000003,170000,0.01627036,16.27036,,,,57000,0.005455356,5.455356,31.549067,86.435799135642,266.69577,7.049227,3.750965
,Afghanistan,1987,10322767,514000,0.049792852,49.792851999999996,1.7019999,,302000,0.029255722,292.55722000000003,,,0,0,0,0,0,0,514000,0.049792852,49.792851999999996,298000,0.028868228,28.868228,154000,0.014918481,14.918481000000002,,,,51000,0.004940536,4.940536,28.893269,79.159640304294,244.24242,6.4624043,3.4294682
,Afghanistan,1988,10383459,494000,0.047575668,47.575668,1.7034,,290000,0.027929036,279.29036,,,0,0,0,0,0,0,494000,0.047575668,47.575668,287000,0.027640115,27.640115,148000,0.014253439,14.253439,,,,49000,0.004719044,4.719044,27.639997,75.726018420822,233.61418,6.172862,3.2773442
,Afghanistan,1989,10673172,458000,0.04291133,42.91133,1.6962999,,270000,0.025297072,252.97072,,,0,0,0,0,0,0,458000,0.04291133,42.91133,265000,0.024828607,24.828606999999998,137000,0.012835922,12.835922,,,,46000,0.0043098717,4.3098716999999995,24.850601,68.08383767532601,210.07953,5.558549,2.9526508
,Afghanistan,1990,10694804,480000,0.04488161,44.88161,1.7581999,,273000,0.025526414,255.26414,,,0,0,0,0,0,0,480000,0.04488161,44.88161,279000,0.026087435,26.087435,144000,0.0134644825,13.464482499999999,,,,48000,0.004488161,4.488161,26.105928,71.523089695728,220.72673,5.8354435,3.1041925
,Afghanistan,1991,10745168,420000,0.039087337,39.087337,1.68,,250000,0.023266273,232.66273,,,0,0,0,0,0,0,420000,0.039087337,39.087337,245000,0.022800947,22.800946999999997,126000,0.011726201,11.726201,,,,42000,0.003908734,3.9087339999999995,22.805708,62.481391156008,192.75107,5.0940185,2.711332
,Afghanistan,1992,12057436,300000,0.024880912,24.880912000000002,1.5,,200000,0.016587274,165.87274,,,0,0,0,0,0,0,300000,0.024880912,24.880912000000002,170000,0.0140991835,14.099183499999999,90000,0.0074642734,7.4642734,,,,30000,0.0024880911,2.4880911,14.112771,38.665125640746005,119.32852,3.1501722,1.6724551
,Afghanistan,1993,14003764,470000,0.033562407,33.562407,1.6786,,280000,0.019994624,199.94624,,,0,0,0,0,0,0,470000,0.033562407,33.562407,272000,0.019423349,19.423348999999998,141000,0.010068721,10.068721,,,,47000,0.0033562405,3.3562405,19.386269,53.113065222294,163.8893,4.334549,2.2973108
,Afghanistan,1994,15455560,500000,0.032350816,32.350815999999995,1.6667,,300000,0.019410491,194.10491,,,0,0,0,0,0,0,500000,0.032350816,32.350815999999995,289000,0.018698772,18.698771999999998,150000,0.0097052455,9.705245499999998,,,,50000,0.0032350817,3.2350817000000003,18.686945,51.19710907707,157.96442,4.1810975,2.2185414
,Afghanistan,1995,16418911,530000,0.032279853,32.279852999999996,1.6563,,320000,0.01948972,194.8972,,,0,0,0,0,0,0,530000,0.032279853,32.279852999999996,310000,0.018880667,18.880667,159000,0.009683955,9.683955,,,,53000,0.003227985,3.227985,18.893887,51.764073454962,159.76259,4.220063,2.249272
,Afghanistan,1996,17106600,360000,0.02104451,21.04451,1.6364,,220000,0.012860534,128.60534,,,0,0,0,0,0,0,360000,0.02104451,21.04451,209000,0.012217507,12.217507000000001,108000,0.006313353,6.313353,,,,36000,0.002104451,2.1044509999999996,12.218106,33.474262678956,103.277985,2.734272,1.4532549
,Afghanistan,1997,17788818,300000,0.016864527,16.864527,1.5,,200000,0.011243018,112.43018000000001,,,0,0,0,0,0,0,300000,0.016864527,16.864527,173000,0.00972521,9.72521,90000,0.005059358,5.059358,,,,30000,0.0016864527,1.6864527,9.730332,26.658443569032002,82.21596,2.1706123,1.1548086
,Afghanistan,1998,18493134,330000,0.01784446,17.844459999999998,1.65,,200000,0.010814824,108.14824,,,0,0,0,0,0,0,330000,0.01784446,17.844459999999998,192000,0.010382231,10.382231,99000,0.005353338,5.353338,,,,33000,0.0017844461,1.7844460999999998,10.405775,28.508972317650002,87.9483,2.3299658,1.2335112
,Afghanistan,1999,19262854,240000,0.012459213,12.459213,1.5,,160000,0.008306142,83.06142000000001,,,0,0,0,0,0,0,240000,0.012459213,12.459213,141000,0.0073197875,7.3197875,72000,0.003737764,3.7377640000000003,,,,24000,0.0012459212,1.2459212,7.3046536,20.0127493889136,61.716022,1.6290208,0.871578
,Afghanistan,2000,19542986,115000,0.005884464,5.8844639999999995,1.1978999,,96000,0.0049122483,49.122482999999995,,,0,0,0,0,0,0,115000,0.005884464,5.8844639999999995,66000,0.0033771708,3.3771708,35000,0.0017909239,1.7909239,,,,12000,0.00061403104,0.61403104,3.3827968,9.2679363456768,28.632582,0.7587582,0.40045568
,Afghanistan,2001,19688634,160000,0.008126516,8.126516,2,,80000,0.004063258,40.632580000000004,,,0,0,0,0,0,0,160000,0.008126516,8.126516,93000,0.0047235372,4.7235372,48000,0.0024379548,2.4379548,,,,16000,0.0008126516,0.8126516,4.694934,12.862832748084001,39.717194,1.051752,0.552983
,Afghanistan,2002,21000258,298000,0.014190302,14.190302,2.98,,100000,0.0047618463,47.618463,,,0,0,0,0,0,0,298000,0.014190302,14.190302,170000,0.008095139,8.095139,89000,0.004238043,4.238043,,,,30000,0.0014285538,1.4285538,8.098709,22.188243613734,68.44783,1.8079364,0.9621182
,Afghanistan,2003,22645136,210000,0.009273515,9.273515,0.84,,250000,0.011039899,110.39899000000001,,,0,0,0,0,0,0,210000,0.009273515,9.273515,117000,0.0051666726,5.1666726,63000,0.0027820545,2.7820545,,,,21000,0.0009273515,0.9273515,5.1754217,14.179237392454201,43.77161,1.1534963,0.61247593
,Afghanistan,2004,23553554,400000,0.016982576,16.982575999999998,1.5999999,,250000,0.010614109,106.14109,,,0,0,0,0,0,0,400000,0.016982576,16.982575999999998,231000,0.009807437,9.807437,120000,0.0050947727,5.0947727,,,,40000,0.0016982575,1.6982575,9.810102,26.876991512052,82.886185,2.1924865,1.1625277
,Afghanistan,2005,24411196,315000,0.012903915,12.903915,1.2069,,261000,0.010691815,106.91815,,,0,0,0,0,0,0,315000,0.012903915,12.903915,67000,0.0027446423,2.7446422999999998,208000,0.0085206805,8.520680500000001,,,,32000,0.0013108739,1.3108739,2.759935,7.56146567781,23.311773,0.62123996,0.32589635
,Afghanistan,2006,25442946,359000,0.014110001,14.110001,2.6204,,137000,0.0053845965,53.845965,,,1000,0.000039303624,0.039303624,0,0,0,360000,0.0141493045,14.1493045,82000,0.0032228972,3.2228972,233000,0.009157744,9.157744000000001,,,,36000,0.0014149304,1.4149304,3.2337258,8.859522651130801,27.360744,0.7253217,0.38280866
,Afghanistan,2007,25903306,360000,0.01389784,13.89784,2.6276999,,137000,0.0052889003,52.889002999999995,,,0,0,0,0,0,0,360000,0.01389784,13.89784,67000,0.0025865424,2.5865424,249000,0.009612673,9.612673000000001,,,,36000,0.001389784,1.3897840000000001,2.5837033,7.0786391072958,21.808899,0.57980746,0.30516183
,Afghanistan,2008,26427204,360000,0.013622327,13.622327,2.6276999,,137000,0.005184052,51.84052,,,0,0,0,0,0,0,360000,0.013622327,13.622327,69000,0.0026109458,2.6109458,247000,0.009346429,9.346429,,,,36000,0.0013622326,1.3622326,2.5981288,7.1181610247088,21.940891,0.58304465,0.30686563
,Afghanistan,2009,27385310,300000,0.010954779,10.954779,2.1429,,140000,0.00511223,51.122299999999996,,,8000,0.00029212743,0.29212743,0,0,0,308000,0.011246906,11.246906,71000,0.002592631,2.5926310000000004,195000,0.007120606,7.1206059999999995,,,,31000,0.0011319937,1.1319937,2.5800474,7.068622943012401,21.844402,0.5767165,0.303535
,Afghanistan,2010,28189672,301000,0.010677669,10.677669000000002,1.6448,,183000,0.0064917393,64.917393,,,0,0,0,0,0,0,301000,0.010677669,10.677669000000002,54000,0.0019155951,1.9155951,178000,0.0063143694,6.3143694,,,,45000,0.0015963293,1.5963292999999998,1.8999999,5.2054791260274005,15.659999,0.31999996,0.12999998
,Afghanistan,2011,29249156,300120,0.010260809,10.260809,1.64,,183000,0.0062565906,62.565906,,,3000,0.000102567064,0.102567064,0,0,0,303000,0.010359273,10.359273,56000,0.0019145851,1.9145851,191000,0.006530103,6.5301029999999995,,,,45000,0.0015385059,1.5385059,1.9300002,5.287671727945201,15.860002,0.33000007,0.13000001
,Afghanistan,2012,30466484,310000,0.010175115,10.175115,2.1986,,141000,0.0046280366,46.280365999999994,,,4000,0.00013129182,0.13129182,0,0,0,314000,0.010306408,10.306408,56000,0.0018380855,1.8380855,200000,0.0065645906,6.5645906,,,,47000,0.0015426788,1.5426788,1.8299998,5.0136980320548,15.039998,0.30999997,0.12999998
,Afghanistan,2013,31541216,312000,0.009891819,9.891819,2.1972,,142000,0.004502046,45.02046,,,1000,0.00003170455,0.03170455,0,0,0,313000,0.009923523,9.923523,54000,0.0017120456,1.7120456,200000,0.0063409097,6.3409097,,,,47000,0.0014901138,1.4901138,1.6999998,4.6575336520548,13.969998,0.28999993,0.119999975
,Afghanistan,2014,32716214,316000,0.009658819,9.658819000000001,2.4882,,127000,0.0038818673,38.818673,,,57000,0.0017422554,1.7422554,2000,0.00006113177,0.061131769999999995,371000,0.011339943,11.339943,89000,0.0027203637,2.7203637,200000,0.0061131767,6.1131767,7000,0.00021396119,0.21396119,47000,0.0014365965,1.4365965,2.7099998,7.4246569120548,22.289999,0.45999998,0.18999998
,Afghanistan,2015,33753500,316000,0.009361992,9.361991999999999,2.1457,,147273,0.004363192,43.63192,,,14000,0.0004147718,0.41477179999999997,0,0,0,329000,0.009747137,9.747136999999999,55000,0.0016294606,1.6294606,202000,0.005984565,5.984565,5000,0.00014813279,0.14813279,47000,0.0013924482,1.3924482,1.62,4.438356120000001,13.29,0.27,0.11
,Afghanistan,2016,34636212,311646,0.008997693,8.997693,2.0516999,,151900,0.0043855836,43.855836000000004,,,33000,0.00095276005,0.95276005,0,0,0,345000,0.009960674,9.960674,64000,0.0018477772,1.8477772,203000,0.005860918,5.860918,7000,0.00020210062,0.20210062,47000,0.0013569613,1.3569613,1.86,5.09589036,15.27,0.32,0.13
,Afghanistan,2017,35643420,173912,0.0048792176,4.8792176000000005,1.2957,,134225,0.003765772,37.657720000000005,,,29000,0.0008136144,0.8136144,0,0,0,203000,0.0056953006,5.6953005999999995,38000,0.0010661155,1.0661155,111000,0.0031141792,3.1141792,7000,0.00019638968,0.19638968,26000,0.0007294474,0.7294474,1.08,2.9589040800000004,8.86,0.18000002,0.080000006
,Afghanistan,2018,36686788,106670,0.0029075863,2.9075862999999997,1.4727,,72433,0.001974362,19.74362,,,57000,0.0015536929,1.5536929000000002,,,,164000,0.0044702743,4.470274300000001,57000,0.0015536929,1.5536929000000002,68000,0.0018535283,1.8535283,8000,0.00021806215,0.21806215,19000,0.0005178976,0.5178976,1.5599997,4.2739717380822,12.859998,0.26999995,0.10999998
,Afghanistan,2019,37769496,184671,0.004889422,4.889422,1.9456999,,94910,0.0025128743,25.128743,,,131000,0.0034684073,3.4684073,0,0,0,302000,0.007995871,7.995871,134000,0.0035478366,3.5478366,118000,0.0031242142,3.1242142,6000,0.00015885835,0.15885834999999998,28000,0.000741339,0.7413390000000001,3.5600004,9.7534256558904,29.250004,0.6000001,0.25000003
,Afghanistan,2020,38972236,271776,0.00697358,6.97358,1.9344,,140498,0.0036050794,36.050793999999996,,,82000,0.002104062,2.104062,0,0,0,351000,0.009006412,9.006412000000001,104000,0.0026685663,2.6685662999999997,175000,0.004490376,4.4903759999999995,9000,0.00023093363,0.23093363,41000,0.001052031,1.052031,2.6699996,7.3150673241096005,21.949997,0.44999993,0.18999997
,Afghanistan,2021,40099460,264314,0.00659146,6.5914600000000005,1.9003999,,139080,0.003468376,34.68376,,,185000,0.0046135285,4.6135285,0,0,0,361000,0.009002615,9.002615,197000,0.0049127843,4.912784299999999,114000,0.002842931,2.842931,7000,0.00017456594,0.17456594,28000,0.00069826376,0.69826376,4.92,13.47945192,40.48,0.84,0.34
,Afghanistan,2022,41128772,311000,0.0075616166,7.561616600000001,2.2374,,139000,0.0033796292,33.796292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1961,291178000,16140043,0.058316283,58.316283,1.0450405,,15444418,0.05580289,558.0289,,,387000,0.001495559,1.495559,1623000,0.006503708,6.5037080000000005,13377000,0.05169533,51.69533,9517000,0.037390523,37.390523,2260000,0.009247854,9.247854,41000,0.00020379791,0.20379791,1083000,0.0042744703,4.2744703,37.390114,102.438667468764,321.4743,8.335462,3.397844
,Africa,1962,298334460,17556072,0.06193647,61.93647,1.1124965,,15780790,0.05567341,556.7341,,,531000,0.0020045636,2.0045636,2864000,0.011210114,11.210114,13815000,0.05215263,52.152629999999995,9771000,0.037492257,37.492257,2334000,0.009328915,9.328915,39000,0.00018914214,0.18914214000000001,1186000,0.004571742,4.571742,37.492706,102.719741438556,321.7196,8.3401785,3.3932014
,Africa,1963,305755600,17625504,0.060698684,60.698684,1.1100464,,15878168,0.054681215,546.81215,,,386000,0.001423001,1.423001,3002000,0.011473693,11.473693,14143000,0.05213861,52.13861,10136000,0.037973247,37.973247,2332000,0.009101251,9.101251,49000,0.00023178691,0.23178690999999998,1133000,0.0042641982,4.2641982,37.97987,104.05443731561999,326.1221,8.453139,3.4385355
,Africa,1964,313466080,16145294,0.05426122,54.26122,0.97999686,,16474843,0.05536877,553.6877,,,661000,0.0023791268,2.3791268,1676000,0.006253596,6.253596,14395000,0.051811695,51.811695,10626000,0.038859934,38.859933999999996,2099000,0.007997186,7.997186,50000,0.00023064177,0.23064177,1124000,0.0041294927,4.1294927,38.86251,106.47262907226,334.0185,8.658665,3.521831
,Africa,1965,321447400,16934360,0.055531915,55.531915,1.0275393,,16480500,0.054043595,540.43595,,,441000,0.0015493527,1.5493527,598000,0.0021777952,2.1777952,15213000,0.053447396,53.447396,11199000,0.039971057,39.971056999999995,2296000,0.0085381875,8.538187500000001,54000,0.00024280883,0.24280883,1149000,0.004119898,4.119898,39.96353,109.48912219278,343.6042,8.903587,3.6122987
,Africa,1966,329658400,17891646,0.05723801,57.238009999999996,1.0732932,,16669859,0.05332933,533.2933,,,876000,0.0030032638,3.0032638,469000,0.0016665845,1.6665845,16019000,0.054919276,54.919276,11014000,0.03835844,38.35844,3167000,0.011492232,11.492232,104000,0.00045570955,0.45570955,1210000,0.004233532,4.233532,38.357918,105.090185250468,329.30737,8.534484,3.47984
,Africa,1967,338159970,23708944,0.07398124,73.98124,1.3703098,,17301884,0.053988695,539.8869500000001,,,463000,0.001548639,1.548639,2878000,0.00997666,9.97666,16620000,0.055590454,55.590453999999994,11421000,0.038805902,38.805902,3111000,0.011013658,11.013658000000001,112000,0.00047822413,0.47822412999999997,1435000,0.0048983363,4.8983363,38.799217,106.299223594542,333.38153,8.648533,3.5330665
,Africa,1968,346980400,18914316,0.05755548,57.555479999999996,1.0761675,,17575628,0.053481903,534.81903,,,294000,0.0009591609,0.9591609,3958000,0.013381535,13.381535,17132000,0.05589233,55.892329999999994,11614000,0.038490996,38.490996,3439000,0.011875133,11.875133,101000,0.00042017343,0.42017343,1416000,0.0047146026,4.7146026,38.50035,105.4804099041,330.5315,8.580373,3.5156984
,Africa,1969,356070660,20090172,0.059607312,59.607312,1.1424456,,17585232,0.052175187,521.7518699999999,,,746000,0.0023733592,2.3733592,1616000,0.005327429,5.3274289999999995,18074000,0.057501465,57.501465,12297000,0.039743736,39.743736,3715000,0.012509548,12.509548,113000,0.00045795832,0.45795832,1377000,0.0044710496,4.4710496,39.74159,108.88106740434002,341.2382,8.846204,3.5976374
,Africa,1970,365450430,19837868,0.057383385,57.383385000000004,1.1392069,,17413752,0.050371345,503.71344999999997,,,687000,0.0021311124,2.1311123999999997,1713000,0.005505933,5.505933,18631000,0.057794403,57.794403,12335000,0.0388725,38.872499999999995,4157000,0.013648286,13.648286,141000,0.0005566478,0.5566478,1447000,0.004581203,4.5812029999999995,38.869453,106.49165098987801,334.10785,8.668825,3.538656
,Africa,1971,375086300,23831506,0.06720713,67.20713,1.3480662,,17678292,0.04985447,498.5447,,,638000,0.0019296389,1.9296389,1833000,0.0057440023,5.7440023,18557000,0.056125876,56.125876,12382000,0.03804581,38.045809999999996,3777000,0.01209004,12.09004,280000,0.0010769595,1.0769594999999998,1553000,0.004793978,4.793978,38.041275,104.22267019065,327.10788,8.48164,3.4548428
,Africa,1972,384930780,25059252,0.0689017,68.90169999999999,1.3793494,,18167444,0.049952317,499.52317000000005,,,604000,0.001780712,1.780712,3900000,0.011912287,11.912287000000001,18753000,0.05528757,55.28757,12330000,0.036930542,36.930541999999996,4109000,0.012819841,12.819841,182000,0.00068202795,0.6820279499999999,1551000,0.004667062,4.667062,36.926846,101.169440084196,317.01273,8.218592,3.349131
,Africa,1973,395212400,18733164,0.050193824,50.193824,1.0666416,,17562754,0.047057815,470.57815000000005,,,502000,0.0014419322,1.4419322,2149000,0.0063948533,6.3948533,19482000,0.055959605,55.959605,13053000,0.038090892,38.090892000000004,4239000,0.012884027,12.884027,155000,0.0005657207,0.5657207000000001,1443000,0.00423046,4.23046,38.091255,104.35960169613,327.3823,8.479368,3.4346266
,Africa,1974,406069220,27179936,0.07091726,70.91726,1.4646016,,18557904,0.048420858,484.20858,,,1140000,0.0031888133,3.1888133,2805000,0.008127964,8.127964,20433000,0.05715528,57.155280000000005,13386000,0.03804066,38.040659999999995,4613000,0.013652467,13.652467,194000,0.0006893391,0.6893391,1641000,0.004685086,4.685086,38.054466,104.258809916316,327.35153,8.476606,3.4390445
,Africa,1975,417557000,26578836,0.06747117,67.47117,1.4242074,,18662196,0.04737454,473.7454,,,1123000,0.0030561117,3.0561117,4252000,0.011985455,11.985455,22381000,0.06090725,60.907250000000005,14678000,0.04058157,40.58157,5169000,0.014881277,14.881277,145000,0.0005013626,0.5013626,1793000,0.004980284,4.980284,40.577793,111.172034504718,349.8673,9.050455,3.6460707
,Africa,1976,429573250,26572550,0.06559402,65.59402,1.3900855,,19115768,0.04718704,471.8704,,,1002000,0.0026512227,2.6512227000000004,2728000,0.007475175,7.475175,23059000,0.06101252,61.01252,15102000,0.040595815,40.595815,5392000,0.0150901545,15.090154499999999,180000,0.0006055733,0.6055733,1779000,0.0048043383,4.8043382999999995,40.597744,111.226694778144,350.00372,9.045305,3.6309605
