,Entity,Code,Year,Temperature anomaly
4448,East Timor,TLS,2020,0.6032896
4532,Ecuador,ECU,2020,0.68202037
4616,Egypt,EGY,2020,0.11018443
4700,El Salvador,SLV,2020,0.4636016
4784,Equatorial Guinea,GNQ,2020,0.8157527
4868,Eritrea,ERI,2020,0.099364124
4952,Estonia,EST,2020,1.9325562
5036,Eswatini,SWZ,2020,0.079391
5120,Ethiopia,ETH,2020,0.38807043
5204,Falkland Islands,FLK,2020,0.47111598
5288,Faroe Islands,FRO,2020,0.14811961
5372,Fiji,FJI,2020,0.70730114
5456,Finland,FIN,2020,1.7949657
5540,France,FRA,2020,1.0604421
5624,French Polynesia,PYF,2020,0.11926731
5708,Gabon,GAB,2020,0.70838165
5792,Gambia,GMB,2020,0.5788843
5876,Georgia,GEO,2020,0.9660463
5960,Germany,DEU,2020,1.1459845
6044,Ghana,GHA,2020,0.58529043
6128,Greece,GRC,2020,0.624549
6212,Greenland,GRL,2020,-0.04502946
6296,Guatemala,GTM,2020,0.889384
6380,Guinea,GIN,2020,0.6665285
6464,Guinea-Bissau,GNB,2020,0.55069333
6548,Guyana,GUY,2020,0.3928806
6632,Haiti,HTI,2020,0.6905327
6716,Heard Island and McDonald Islands,HMD,2020,0.25995007
6800,Honduras,HND,2020,0.7444086
6884,Hong Kong,HKG,2020,0.49905452
6968,Hungary,HUN,2020,0.6549857
7052,Iceland,ISL,2020,-0.23191416
7136,India,IND,2020,-0.003112952
7220,Indonesia,IDN,2020,0.5381734
7304,Iran,IRN,2020,0.005921801
7388,Iraq,IRQ,2020,0.7766912
7472,Ireland,IRL,2020,0.14534295
7556,Isle of Man,IMN,2020,0.2882826
7640,Israel,ISR,2020,0.73799473
7724,Italy,ITA,2020,0.61070615
7808,Jamaica,JAM,2020,0.85761434
7892,Japan,JPN,2020,0.75004715
7976,Jordan,JOR,2020,0.9548598
8060,Kazakhstan,KAZ,2020,0.9407155
8144,Kenya,KEN,2020,0.21963453
8228,Kiribati,KIR,2020,-0.020254454
8312,Kosovo,OWID_KOS,2020,0.49771294
8396,Kuwait,KWT,2020,0.7256934
8480,Kyrgyzstan,KGZ,2020,0.015102844
8564,Laos,LAO,2020,0.70959455
8648,Latvia,LVA,2020,1.8659912
8732,Lebanon,LBN,2020,0.9986914
8816,Lesotho,LSO,2020,0.35858107
8900,Liberia,LBR,2020,0.702195
8984,Libya,LBY,2020,0.217165
9068,Lithuania,LTU,2020,1.7909888
9152,Luxembourg,LUX,2020,1.2818745
9236,Madagascar,MDG,2020,0.3914237
9320,Malawi,MWI,2020,0.393932
9404,Malaysia,MYS,2020,0.49440512
9488,Mali,MLI,2020,0.55719155
9572,Mauritania,MRT,2020,0.9427099
9656,Mauritius,MUS,2020,-0.08125242
9740,Mexico,MEX,2020,0.7226905
9824,Moldova,MDA,2020,1.7053512
9908,Mongolia,MNG,2020,0.46613207
9992,Montenegro,MNE,2020,0.8727975
10076,Morocco,MAR,2020,1.0639595
10160,Mozambique,MOZ,2020,0.51196975
10244,Myanmar,MMR,2020,0.4925755
10328,Namibia,NAM,2020,0.49905762
10412,Nepal,NPL,2020,-0.20289445
10496,Netherlands,NLD,2020,1.1118559
10580,New Caledonia,NCL,2020,0.35307822
10664,New Zealand,NZL,2020,0.61358637
10748,Nicaragua,NIC,2020,0.48728862
10832,Niger,NER,2020,0.4446076
10916,Nigeria,NGA,2020,0.19784038
11000,North Korea,PRK,2020,0.74278146
11084,North Macedonia,MKD,2020,0.67488813
11168,Norway,NOR,2020,1.1110193
11252,Oman,OMN,2020,0.060765903
11336,Pakistan,PAK,2020,-0.086662136
11420,Palestine,PSE,2020,0.7561009
11504,Panama,PAN,2020,0.38434824
11588,Papua New Guinea,PNG,2020,0.4986011
11672,Paraguay,PRY,2020,0.95136994
11756,Peru,PER,2020,0.56550044
11840,Philippines,PHL,2020,0.5395589
11924,Poland,POL,2020,1.2688462
12008,Portugal,PRT,2020,0.63826555
12092,Puerto Rico,PRI,2020,0.3939519
12176,Qatar,QAT,2020,0.61015147
12260,Romania,ROU,2020,1.0877043
12344,Russia,RUS,2020,2.247587
12428,Rwanda,RWA,2020,0.8224718
12512,Saint Helena,SHN,2020,0.24491835
12596,Saint Vincent and the Grenadines,VCT,2020,0.30013815
12680,Samoa,WSM,2020,0.30150223
12764,Sao Tome and Principe,STP,2020,0.40182686
12848,Saudi Arabia,SAU,2020,0.55745226
12932,Senegal,SEN,2020,0.6394054
13016,Serbia,SRB,2020,0.5027309
13100,Seychelles,SYC,2020,0.50212526
13184,Sierra Leone,SLE,2020,0.679045
13268,Slovakia,SVK,2020,0.83684254
13352,Slovenia,SVN,2020,0.64416
13436,Solomon Islands,SLB,2020,0.53623104
13520,Somalia,SOM,2020,0.550663
13604,South Africa,ZAF,2020,0.27062687
13688,South Georgia and the South Sandwich Islands,SGS,2020,0.018777212
13772,South Korea,KOR,2020,0.439023
13856,South Sudan,SSD,2020,0.3057364
13940,Spain,ESP,2020,0.5304232
14024,Sri Lanka,LKA,2020,0.41259113
14108,Sudan,SDN,2020,0.030071577
14192,Suriname,SUR,2020,0.29528666
14276,Sweden,SWE,2020,1.6563321
14360,Switzerland,CHE,2020,1.1018411
14444,Syria,SYR,2020,1.0909433
14528,Tajikistan,TJK,2020,0.09479922
14612,Tanzania,TZA,2020,0.13379335
14696,Thailand,THA,2020,0.6335915
14780,Togo,TGO,2020,0.50377226
14864,Trinidad and Tobago,TTO,2020,0.30376387
14948,Tunisia,TUN,2020,0.5924272
15032,Turkey,TUR,2020,1.1545688
15116,Turkmenistan,TKM,2020,-0.16089259
15200,Uganda,UGA,2020,0.051698048
15284,Ukraine,UKR,2020,1.5783156
15368,United Arab Emirates,ARE,2020,0.5465617
15452,United Kingdom,GBR,2020,0.47680333
15536,United States,USA,2020,0.6810348
15620,United States Virgin Islands,VIR,2020,0.35634947
15704,Uruguay,URY,2020,0.09792495
15788,Uzbekistan,UZB,2020,0.047409415
15872,Vanuatu,VUT,2020,0.3389778
15956,Venezuela,VEN,2020,0.51176643
16040,Vietnam,VNM,2020,0.51861304
16124,World,OWID_WRL,2020,0.4321618
16208,Yemen,YEM,2020,0.108738266
16292,Zambia,ZMB,2020,0.13731241
16376,Zimbabwe,ZWE,2020,0.22929597
